9,10,80
14,12,
10,11,
9,9,
9,7,
9,5,
10,10,
12,15,
9,9,
15,14,
13,9,
11,13,
9,8,
9,8,
13,11,
11,12,
9,5,
9,12,
15,11,
9,5,
11,12,
9,4,
14,12,
9,4,
15,10,
13,11,
9,8,
9,8,
15,13,
9,13,
13,15,
9,9,
15,14,
12,13,
14,10,
9,4,
9,3,
13,13,
9,14,
10,12,
15,15,
9,7,
10,15,
9,6,
10,15,
12,12,
9,3,
9,9,
14,10,
9,7,
10,13,
15,13,
9,4,
14,13,
9,6,
15,9,
10,12,
15,12,
9,11,
9,3,
11,10,
14,15,
14,13,
9,7,
11,13,
13,10,
14,12,
9,14,
9,8,
9,6,
9,3,
13,10,
11,11,
15,15,
15,13,
9,12,
9,6,
9,9,
15,14,
15,13,
14,10,
15,9,
9,8,
9,3,
10,12,
9,5,
9,14,
9,13,
